X1	X2
0.093015862	0.986189868
-3.050606588	-2.5874597
0.394198856	0.770483107
0.000577017	0.847935585
-0.57270232	-0.251786608
-1.717992891	-0.903644964
-0.269030411	0.060260389
-1.183827363	-0.631974547
0.836882152	1.29537318
-0.061425443	0.197004333
-1.035652304	-1.386253941
0.042236721	0.129961324
-1.379355299	-0.458043479
-1.555750161	-1.05627189
1.10930462	0.858045511
-1.114115837	0.287790658
-1.005522129	-1.276005603
1.241785866	2.041022306
0.15755231	-0.507717158
1.122256995	0.7686645
-1.312660189	-1.242252912
0.333879752	-0.161129945
-0.668171553	-0.994434115
1.390099575	2.061540204
0.086526517	0.007970535
0.104999379	0.423570775
-0.08913136	-1.033434452
0.155167357	-0.17019364
-0.5264903	-0.796315916
0.178898775	0.129289987
1.371145549	1.039899912
-0.092853599	-1.167361586
-1.602483908	-1.0507882
-1.618864714	-1.735550872
-1.111552394	-1.174053289
-2.072150888	-1.659042002
0.21818788	0.498121744
-0.62991465	-0.445620429
-2.665134715	-1.743156236
0.061615733	-0.139401926
-0.020331699	0.378197187
-0.086734187	0.03776388
0.063006469	-0.323580033
0.132975795	-0.698518011
-0.150467098	0.546682475
-0.630193294	-0.901214446
-0.096041286	0.024518709
0.073174464	-1.137366597
-0.660332442	0.163311235
0.504085345	-0.152173791
0.415418453	0.907839918
0.362776902	0.269138877
0.487658843	-0.11921753
-1.545820025	-0.972124673
0.623784505	1.030187405
0.268468961	0.484478144
0.542350521	1.084098222
0.571888176	-0.004300653
-1.189413809	-0.889455868
0.507245154	0.31476821
1.395696357	0.548256085
0.657036049	1.324463166
0.085165547	-0.151689381
-0.510292234	-0.707612333
0.751371332	0.612943315
-0.249951293	-0.285649692
1.12836184	1.445253435
-0.021443535	0.208163806
1.14145075	0.909866141
1.030528063	0.981010072
-0.107365241	1.144266031
-1.181849701	-0.691104539
-0.017315804	0.084148353
0.868719967	0.922610978
0.325596068	0.474672843
0.917472291	1.988855999
-0.999846239	-0.607228317
0.768074836	0.585342938
0.22749955	1.280633089
-0.972331699	-1.206671264
-1.523669016	-1.014274488
2.330418072	2.636114745
-1.157937694	-1.715409061
1.28054899	0.275480476
0.813508332	0.627342214
-0.150720084	-0.427590635
0.556004474	-0.00457082
0.829040756	0.050439298
-0.446104086	0.206547108
1.765505393	1.894619445
-1.744128663	-2.058008956
-0.158515675	-0.388614544
1.425851352	1.412929829
-0.720826334	-0.789763766
-0.594093391	-0.006761683
0.094734711	-0.146090057
0.714454299	0.313246864
0.266524432	-0.39567483
-1.746946152	-0.566287516
0.727588891	1.766660533
